project,clock_name,modality,cell_type,feature,coefficient,importance,rank,model_type
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33718,0.3087752990143065,,182,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33932,0.3304661455173246,,119,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33933,0.3213078792397243,,147,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_33971,-0.5839778417248059,,6,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_34009,0.6677864760231328,,3,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_3450,-0.3690669871881391,,69,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_34654,-0.4016231995162597,,44,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_34701,-0.3189626589745448,,154,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_34780,0.4052146744811333,,43,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_34781,0.3558586304657516,,77,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35232,0.3120483276829368,,170,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35234,0.320538232694489,,152,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_3526,-0.3298301813349663,,123,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35341,-0.3358072102646013,,107,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35361,-0.3299747185876704,,121,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35428,0.3897720713553183,,52,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35510,-0.420037331606463,,35,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35625,0.3148370110730526,,165,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_35932,-0.3193149708138665,,153,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_36458,0.373326114361434,,62,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_36624,0.3044144915170657,,196,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_3708,0.44047922834031,,26,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37176,-0.3358012852009878,,108,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37211,-0.4014006082340177,,46,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37234,-0.3254033883256368,,134,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37336,-0.3518359561912384,,84,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37649,-0.3091285253006101,,181,RidgeCV
pfc_to_retinal,pfc_allcell_to_retinal_ridge_clock,ATAC,All-cells,tile_37815,-0.4332062913355782,,31,RidgeCV
