,specimenID,libraryID,assay,platform,referenceSet,transposaseBatch,libraryBatch,libraryPreparationMethod,sampleBarcode,chromiumSampleIndex,pcrCycles,sequencingBatch,isStranded,readStrandOrigin,readLength,runType,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2
105,M2AT_220321_211_C01,L8AT_220323_01_B02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-B2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9197,0.9086
106,M2AT_220321_211_D01,L8AT_220323_01_C02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-C2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9178,0.9043
107,M2AT_220322_206_A01,L8AT_220323_01_D02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-D2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9212,0.9097
108,M2AT_220322_206_B01,L8AT_220323_01_E02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-E2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.92,0.9027
109,M2AT_220322_206_C01,L8AT_220323_01_F02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-F2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9189,0.9041
110,M2AT_220322_206_D01,L8AT_220323_01_G02,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220323_01,10x,,SI-NA-G2,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9174,0.9018
111,M2AT_220328_221_A01,L8AT_220330_01_D04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220330_01,10x,,SI-NA-D4,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9184,0.9051
112,M2AT_220328_221_B01,L8AT_220330_01_E04,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22040504,L8AT_220330_01,10x,,SI-NA-E4,,ATX-1505,False,forward,50bp,pairedEnd,,,0.9181,0.8996
113,M2AT_220215_216_A01,L8AT_220216_01_G09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22022203,L8AT_220216_01,10x,,SI-NA-G9,,ATX-568,False,forward,50bp,pairedEnd,,,0.9571,0.9497
114,M2AT_220215_216_B01,L8AT_220216_01_H09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22022203,L8AT_220216_01,10x,,SI-NA-H9,,ATX-568,False,forward,50bp,pairedEnd,,,0.9568,0.9477
115,M2AT_220215_216_C01,L8AT_220216_01_A10,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22022203,L8AT_220216_01,10x,,SI-NA-A10,,ATX-568,False,forward,50bp,pairedEnd,,,0.9563,0.9488
116,M2AT_220214_207_A01,L8AT_220216_01_E09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22022203,L8AT_220216_01,10x,,SI-NA-E9,,ATX-568,False,forward,50bp,pairedEnd,,,0.9583,0.9513
117,M2AT_220214_207_B01,L8AT_220216_01_F09,ATACSeq,IlluminaNovaseq6000,GRCh38,R8AT-22022203,L8AT_220216_01,10x,,SI-NA-F9,,ATX-568,False,forward,50bp,pairedEnd,,,0.9572,0.9504
118,M2AT_220221_211_B01,L8AT_220223_01_C01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030106,L8AT_220223_01,10x,,SI-NA-C1,,ATX-570,False,forward,50bp,pairedEnd,,,0.9376,0.9362
119,M2AT_220221_211_C01,L8AT_220223_01_D01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030106,L8AT_220223_01,10x,,SI-NA-D1,,ATX-570,False,forward,50bp,pairedEnd,,,0.9388,0.9364
120,M2AT_220222_207_A01,L8AT_220223_01_E01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030106,L8AT_220223_01,10x,,SI-NA-E1,,ATX-570,False,forward,50bp,pairedEnd,,,0.9374,0.9378
121,M2AT_220222_207_B01,L8AT_220223_01_F01,ATACSeq,IlluminaNovaseq6000,GRCh38,R8XA-22030106,L8AT_220223_01,10x,,SI-NA-F1,,ATX-570,False,forward,50bp,pairedEnd,,,0.9375,0.9372
