,specimenID,libraryID,assay,platform,RIN,rnaBatch,libraryBatch,sequencingBatch,libraryPrep,libraryPreparationMethod,libraryType,sampleBarcode,isStranded,readStrandOrigin,readLength,runType,totalReads,validBarcodeReads,numberCells,medianGenes,medianUMIs,referenceSet,transposaseBatch,chromiumSampleIndex,pcrCycles,meanCoverage,meanGCContent,Q30BasesinRead1,Q30BasesinRead2,specimen_suffix
116,1824_A06,L8XR_230824_01_B03,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.33,A8XR_230822_01,L8XR_230824_01,MTX-2145,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1287329819,1243818071,1995,6382.0,30288.0,GRCh38,R8XR-23091203,SI-TT-B3_i7,,,,0.9577,0.9461,-L8XR_230824_01_B03-1298390350
117,1824_B06,L8XR_230824_01_H02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.43,A8XR_230822_01,L8XR_230824_01,MTX-2145,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1261123480,1218497506,5504,4819.0,18498.5,GRCh38,R8XR-23091203,SI-TT-H2_i7,,,,0.9538,0.9502,-L8XR_230824_01_H02-1298390353
118,1836_A04,L8XR_230831_01_H04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.48,A8XR_230829_01,L8XR_230831_01,MTX-2145,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1307647504,1262533665,9061,2925.0,5660.0,GRCh38,R8XR-23091203,SI-TT-H4_i7,,,,0.9584,0.9523,-L8XR_230831_01_H04-1298390356
119,1836_B04,L8XR_230831_01_G04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.17,A8XR_230829_01,L8XR_230831_01,MTX-2145,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1361912820,1314245871,6114,2616.0,5439.0,GRCh38,R8XR-23091203,SI-TT-G4_i7,,,,0.9598,0.9501,-L8XR_230831_01_G04-1298390359
120,1888_A05,L8XR_231005_01_H01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,7.03,A8XR_231003_01,L8XR_231005_01,MTX-2150,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1299028517,1239533011,7195,3999.0,13142.0,GRCh38,R8XR-23101003,SI-TT-H1_i7,,,,0.9622,0.9563,-L8XR_231005_01_H01-1305176105
121,1888_B05,L8XR_231005_01_D01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,5.67,A8XR_231003_01,L8XR_231005_01,MTX-2150,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,881999933,841339736,4631,2146.0,5446.0,GRCh38,R8XR-23101003,SI-TT-D1_i7,,,,0.9631,0.9578,-L8XR_231005_01_D01-1305176111
122,1894_A08,L8XR_231005_01_B02,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.82,A8XR_231003_02,L8XR_231005_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1311293696,1265660675,6623,4774.0,16819.0,GRCh38,R8XR-23101703,SI-TT-B2_i7,,,,0.9581,0.955,-L8XR_231005_01_B02-1306724722
123,1894_B08,L8XR_231005_01_C01,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.63,A8XR_231003_02,L8XR_231005_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,987538682,951394766,2148,3435.5,9717.5,GRCh38,R8XR-23101703,SI-TT-C1_i7,,,,0.9631,0.9552,-L8XR_231005_01_C01-1306724723
124,1900_A06,L8XR_231012_01_H04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.07,A8XR_231010_01,L8XR_231012_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,941097140,908064630,7554,3787.0,11533.0,GRCh38,R8XR-23101703,SI-TT-H4_i7,,,,0.9622,0.9529,-L8XR_231012_01_H04-1306724727
125,1900_B06,L8XR_231012_01_G05,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,9.6,A8XR_231010_01,L8XR_231012_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1242012003,1198914186,7920,4454.0,15006.5,GRCh38,R8XR-23101703,SI-TT-G5_i7,,,,0.9616,0.9567,-L8XR_231012_01_G05-1306724728
126,1902_A08,L8XR_231012_01_E04,"scrnaSeq,ATACSeq",IlluminaNovaseq6000,8.98,A8XR_231010_01,L8XR_231012_01,MTX-2151,polyAselection,10x,cDNA,,False,forward,50bp,pairedEnd,1223709145,1181858292,5470,3254.0,8887.0,GRCh38,R8XR-23101703,SI-TT-E4_i7,,,,0.9643,0.9563,-L8XR_231012_01_E04-1306724729
